Step,Number
1,123487109283741239084717093847120984712837470129387412709348712309847129387040712387409182734871209384712908374812730498712304987128374
2,61743554641870619542358546923560492356418735064693706354674356154923564693520356193704591367435604692356454187406365249356152493564187
3,185230663925611858627075640770681477069256205194081119064023068464770694080561068581113774102306814077069362562219095748068457480692562
4,92615331962805929313537820385340738534628102597040559532011534232385347040280534290556887051153407038534681281109547874034228740346281
5,277845995888417787940613461156022215603884307791121678596034602697156041120841602871670661153460221115604043843328643622102686221038844
6,138922997944208893970306730578011107801942153895560839298017301348578020560420801435835330576730110557802021921664321811051343110519422
7,69461498972104446985153365289005553900971076947780419649008650674289010280210400717917665288365055278901010960832160905525671555259711
8,208384496916313340955460095867016661702913230843341258947025952022867030840631202153752995865095165836703032882496482716577014665779134
9,104192248458156670477730047933508330851456615421670629473512976011433515420315601076876497932547582918351516441248241358288507332889567
10,312576745374470011433190143800524992554369846265011888420538928034300546260946803230629493797642748755054549323744724074865521998668702
11,156288372687235005716595071900262496277184923132505944210269464017150273130473401615314746898821374377527274661872362037432760999334351
12,468865118061705017149785215700787488831554769397517832630808392051450819391420204845944240696464123132581823985617086112298282998003054
13,234432559030852508574892607850393744415777384698758916315404196025725409695710102422972120348232061566290911992808543056149141499001527
14,703297677092557525724677823551181233247332154096276748946212588077176229087130307268916361044696184698872735978425629168447424497004582
15,351648838546278762862338911775590616623666077048138374473106294038588114543565153634458180522348092349436367989212814584223712248502291
16,1054946515638836288587016735326771849870998231144415123419318882115764343630695460903374541567044277048309103967638443752671136745506874
17,527473257819418144293508367663385924935499115572207561709659441057882171815347730451687270783522138524154551983819221876335568372753437
18,1582419773458254432880525102990157774806497346716622685128978323173646515446043191355061812350566415572463655951457665629006705118260312
19,791209886729127216440262551495078887403248673358311342564489161586823257723021595677530906175283207786231827975728832814503352559130156
20,395604943364563608220131275747539443701624336679155671282244580793411628861510797838765453087641603893115913987864416407251676279565078
21,197802471682281804110065637873769721850812168339577835641122290396705814430755398919382726543820801946557956993932208203625838139782539
22,593407415046845412330196913621309165552436505018733506923366871190117443292266196758148179631462405839673870981796624610877514419347618
23,296703707523422706165098456810654582776218252509366753461683435595058721646133098379074089815731202919836935490898312305438757209673809
24,890111122570268118495295370431963748328654757528100260385050306785176164938399295137222269447193608759510806472694936916316271629021428
25,445055561285134059247647685215981874164327378764050130192525153392588082469199647568611134723596804379755403236347468458158135814510714
26,222527780642567029623823842607990937082163689382025065096262576696294041234599823784305567361798402189877701618173734229079067907255357
27,667583341927701088871471527823972811246491068146075195288787730088882123703799471352916702085395206569633104854521202687237203721766072
28,333791670963850544435735763911986405623245534073037597644393865044441061851899735676458351042697603284816552427260601343618601860883036
29,166895835481925272217867881955993202811622767036518798822196932522220530925949867838229175521348801642408276213630300671809300930441518
30,83447917740962636108933940977996601405811383518259399411098466261110265462974933919114587760674400821204138106815150335904650465220759
31,250343753222887908326801822933989804217434150554778198233295398783330796388924801757343763282023202463612414320445451007713951395662278
32,125171876611443954163400911466994902108717075277389099116647699391665398194462400878671881641011601231806207160222725503856975697831139
33,375515629834331862490202734400984706326151225832167297349943098174996194583387202636015644923034803695418621480668176511570927093493418
34,187757814917165931245101367200492353163075612916083648674971549087498097291693601318007822461517401847709310740334088255785463546746709
35,563273444751497793735304101601477059489226838748250946024914647262494291875080803954023467384552205543127932221002264767356390640240128
